ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
3450796,12/11/2020 07:00:00 AM,2020,December,11,Friday,7,17,Collins Place (South),229
3450797,12/11/2020 07:00:00 AM,2020,December,11,Friday,7,18,Collins Place (North),145
3450798,12/11/2020 07:00:00 AM,2020,December,11,Friday,7,53,Collins St (North),139
3450799,12/11/2020 07:00:00 AM,2020,December,11,Friday,7,2,Bourke Street Mall (South),105
3450800,12/11/2020 07:00:00 AM,2020,December,11,Friday,7,1,Bourke Street Mall (North),137
3450801,12/11/2020 07:00:00 AM,2020,December,11,Friday,7,9,Southern Cross Station,170
3450802,12/11/2020 07:00:00 AM,2020,December,11,Friday,7,10,Victoria Point,52
3450803,12/11/2020 07:00:00 AM,2020,December,11,Friday,7,12,New Quay,130
3450804,12/11/2020 07:00:00 AM,2020,December,11,Friday,7,11,Waterfront City,39
3450805,12/11/2020 07:00:00 AM,2020,December,11,Friday,7,8,Webb Bridge,143
3450806,12/11/2020 07:00:00 AM,2020,December,11,Friday,7,7,Birrarung Marr,124
3450807,12/11/2020 07:00:00 AM,2020,December,11,Friday,7,5,Princes Bridge,442
3450808,12/11/2020 07:00:00 AM,2020,December,11,Friday,7,6,Flinders Street Station Underpass,416
